experiment_id,timestamp,git_commit,description,hypothesis,dataset_version,validation_split_seed,blocking_version,feature_version,model,model_config,candidate_recall,avg_candidates,median_candidates,p95_candidates,p99_candidates,max_candidates,reduction_ratio,precision,recall,f0_5,macro_f05,threshold,runtime_seconds,notes
E0-E5-baseline,2026-09-25T06:58:54.865669+00:00,b4ba24b,Entity-level GBDT baseline,Exact blocking union char TF-IDF plus GBDT and threshold sweep beats a naive 0.5 cutoff,challenge_train,42,exact+char_tfidf_k10,e3_v1,gbdt,"{""n_estimators"": 200, ""learning_rate"": 0.05, ""num_leaves"": 31, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""n_jobs"": 1, ""verbose"": -1}",1.0,59.16,52.0,105.19999999999999,126.25000000000013,151.0,0.998521,0.89,0.89,0.89,0.89,0.15,294.4367688000202,limit_s1=500; limit_s2=20000; limit_s3=20000; skip_tfidf=False; smoke_kgrid=10; smoke_max_features=20000
E0-E5-baseline_SMOKE_TEST_NON_COMPARABLE,2026-09-25T07:27:59.066125+00:00,0af8fad,Entity-level GBDT baseline (SMOKE_TEST_NON_COMPARABLE),Exact blocking union char TF-IDF plus GBDT and threshold sweep beats a naive 0.5 cutoff,challenge_train,42,exact+char_tfidf_k10,e3_v1,gbdt,"{""n_estimators"": 200, ""learning_rate"": 0.05, ""num_leaves"": 31, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""n_jobs"": 1, ""verbose"": -1}",0.9989583333333334,53.65686274509804,47.0,98.84999999999997,122.93999999999997,150.0,0.9986585784313725,0.9980392156862745,0.9650326797385621,0.9872327427474485,0.9872327427474485,0.35,645.8053481000243,limit_s1=500; limit_s2=20000; limit_s3=20000; skip_tfidf=False; smoke_kgrid=10; smoke_max_features=20000; label=SMOKE_TEST_NON_COMPARABLE
